002289,1847.0000000000,100
0.0000000000,13.5000009537,1852.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1851.0000000000,100
0.0000000000,13.5000009537,1826.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1854.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1851.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1850.0000000000,100
0.0000000000,13.5000009537,1826.0000000000,100
0.0000000000,13.5000009537,1849.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1827.0000000000,100
0.0000000000,13.5000009537,1845.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1828.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1845.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1844.0000000000,100
0.0000000000,13.5000009537,1824.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1827.0000000000,100
0.0000000000,13.5000009537,1853.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1842.0000000000,100
0.0000000000,13.5000009537,1822.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1822.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1828.0000000000,100
0.0000000000,13.5000009537,1844.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1845.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1845.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1850.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1818.0000000000,100
0.0000000000,13.5000009537,1829.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1847.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1854.0000000000,100
0.0000000000,13.5000009537,1823.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1829.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1851.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1818.0000000000,100
0.0000000000,13.5000009537,1848.0000000000,100
0.0000000000,13.5000009537,1828.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1829.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1860.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1845.0000000000,100
0.0000000000,13.5000009537,1829.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1827.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1847.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1819.0000000000,100
0.0000000000,13.5000009537,1848.0000000000,100
0.0000000000,13.5000009537,1829.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1825.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1853.0000000000,100
0.0000000000,13.5000009537,1824.0000000000,100
0.0000000000,13.5000009537,1848.0000000000,100
0.0000000000,13.5000009537,1817.0000000000,100
0.0000000000,13.5000009537,1852.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1844.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1850.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1844.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1842.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1855.0000000000,100
0.0000000000,13.5000009537,1825.0000000000,100
0.0000000000,13.5000009537,1850.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1844.0000000000,100
0.0000000000,13.5000009537,1825.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1826.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1839.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1845.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1852.0000000000,100
0.0000000000,13.5000009537,1824.0000000000,100
0.0000000000,13.5000009537,1847.0000000000,100
0.0000000000,13.5000009537,1817.0000000000,100
0.0000000000,13.5000009537,1848.0000000000,100
0.0000000000,13.5000009537,1825.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1823.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1842.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1851.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1834.0000000000,100
0.0000000000,13.5000009537,1827.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1826.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1832.0000000000,100
0.0000000000,13.5000009537,1842.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1859.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1850.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1837.0000000000,100
0.0000000000,13.5000009537,1835.0000000000,100
0.0000000000,13.5000009537,1840.0000000000,100
0.0000000000,13.5000009537,1836.0000000000,100
0.0000000000,13.5000009537,1838.0000000000,100
0.0000000000,13.5000009537,1819.0000000000,100
0.0000000000,13.5000009537,1843.0000000000,100
0.0000000000,13.5000009537,1829.0000000000,100
0.0000000000,13.5000009537,1852.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1841.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
0.0000000000,13.5000009537,1833.0000000000,100
0.0000000000,13.5000009537,1831.0000000000,100
0.0000000000,13.5000009537,1845.0000000000,100
0.0000000000,13.5000009537,1846.0000000000,100
0.0000000000,13.5000009537,1818.0000000000,100
0.0000000000,13.5000009537,1842.0000000000,100
0.0000000000,13.5000009537,1852.0000000000,100
0.0000000000,13.5000009537,1858.0000000000,100
0.0000000000,13.5000009537,1830.0000000000,100
